team,wk,season,fg.,ft.,X3p,trb,ast,stl,blk,tov,pts
Double Double,13,1,0.4469,0.7143,36,260,152,55,24,96,582
Sami's Mannschaft,13,1,0.4562,0.7953,59,299,131,43,22,72,754
Conor's Tomcats,13,1,0.4817,0.7394,58,283,132,62,41,90,628
Conquest Pain,13,1,0.4309,0.75,39,251,129,45,26,86,639
"Paul George, John and Ringo",13,1,0.4502,0.7778,46,197,145,41,29,100,621
Team Broucek,13,1,0.4457,0.8115,36,195,145,39,19,73,529
Team Sarkarati,13,1,0.4598,0.8118,58,207,108,48,23,81,676
Windy City Poohdinis,13,1,0.4434,0.7375,36,261,158,54,27,90,648
"Paul George, John and Ringo",14,1,0.4378,0.7527,35,226,93,31,29,76,513
Delonte's Donuts,14,1,0.4598,0.7033,35,231,112,36,26,86,499
Team Broucek,14,1,0.4254,0.8358,30,190,91,40,16,68,484
Windy City Poohdinis,14,1,0.4275,0.8118,42,197,136,42,30,67,628
Conquest Pain,14,1,0.4343,0.7114,46,272,133,37,37,87,668
Team Sarkarati,14,1,0.4198,0.7941,46,189,125,40,26,48,536
Sami's Mannschaft,14,1,0.4508,0.8383,57,304,135,41,14,72,737
No Look No Pass,14,1,0.4227,0.8348,32,293,124,28,31,66,516
Conor's Tomcats,14,1,0.4197,0.7683,37,222,106,48,29,69,398
Double Double,14,1,0.4856,0.7117,33,258,128,39,26,84,550
Delonte's Donuts,15,1,0.4609,0.7203,46,233,114,44,36,66,555
Team Broucek,15,1,0.4794,0.7805,44,243,159,48,29,95,786
Windy City Poohdinis,15,1,0.4071,0.837,37,231,151,39,29,89,629
Conquest Pain,15,1,0.4271,0.7006,52,291,191,44,22,114,672
Team Sarkarati,15,1,0.4591,0.8589,50,192,141,51,22,54,684
Sami's Mannschaft,15,1,0.4637,0.8138,49,297,151,53,15,84,729
No Look No Pass,15,1,0.4694,0.8361,54,296,120,51,27,76,662
Conor's Tomcats,15,1,0.4931,0.7411,52,301,158,53,37,90,720
Double Double,15,1,0.4567,0.6987,44,355,193,60,29,95,723
"Paul George, John and Ringo",15,1,0.436,0.6977,36,236,99,35,24,55,528
Conquest Pain,16,1,0.4586,0.6193,43,252,130,41,25,94,663
Delonte's Donuts,16,1,0.4424,0.7404,57,218,130,34,45,92,564
Sami's Mannschaft,16,1,0.4498,0.7677,36,283,141,49,18,69,693
Windy City Poohdinis,16,1,0.4861,0.8443,54,231,134,47,43,81,685
Conor's Tomcats,16,1,0.4071,0.8387,46,306,168,55,29,95,588
Team Sarkarati,16,1,0.4532,0.8016,51,205,124,48,19,62,588
"Paul George, John and Ringo",16,1,0.4433,0.7674,34,239,115,44,14,64,547
No Look No Pass,16,1,0.4918,0.839,28,323,130,34,39,88,607
Team Broucek,16,1,0.4183,0.7886,29,278,161,48,30,110,633
Double Double,16,1,0.4273,0.7597,29,247,132,37,26,77,515
Delonte's Donuts,17,1,0.4647,0.7347,55,277,131,31,49,73,575
Sami's Mannschaft,17,1,0.4398,0.8075,35,305,109,43,30,89,611
Windy City Poohdinis,17,1,0.3996,0.8012,44,266,115,49,23,89,627
Conor's Tomcats,17,1,0.4109,0.7989,37,262,172,59,35,90,562
Team Sarkarati,17,1,0.4061,0.7591,51,182,144,45,20,95,553
"Paul George, John and Ringo",17,1,0.4286,0.7717,47,242,98,39,27,86,547
No Look No Pass,17,1,0.4485,0.8043,54,297,119,44,29,79,635
Team Broucek,17,1,0.4328,0.8414,43,196,151,34,14,93,603
Double Double,17,1,0.4792,0.7203,34,290,141,38,30,70,643
Conquest Pain,17,1,0.4645,0.6119,38,334,146,56,38,97,697
Conor's Tomcats,18,1,0.4703,0.8169,39,292,189,44,35,88,661
Delonte's Donuts,18,1,0.4141,0.7829,54,271,165,46,35,100,601
"Paul George, John and Ringo",18,1,0.4522,0.7462,45,215,141,59,22,76,596
Windy City Poohdinis,18,1,0.4777,0.8494,55,256,130,62,32,86,710
Team Broucek,18,1,0.4375,0.8,25,209,143,40,28,81,581
Team Sarkarati,18,1,0.4427,0.7857,53,266,149,53,27,66,679
Conquest Pain,18,1,0.4688,0.6571,45,299,149,42,22,92,670
No Look No Pass,18,1,0.4756,0.8033,40,259,107,43,42,78,606
Sami's Mannschaft,18,1,0.4812,0.7815,37,210,145,54,11,90,540
Double Double,18,1,0.427,0.7398,39,246,158,37,35,81,604
Delonte's Donuts,19,1,0.446,0.7372,59,256,129,35,38,77,612
"Paul George, John and Ringo",19,1,0.4637,0.7105,62,224,164,43,24,91,669
Windy City Poohdinis,19,1,0.4604,0.7821,59,240,121,43,23,89,693
Team Broucek,19,1,0.4603,0.7667,33,245,155,43,20,98,600
Team Sarkarati,19,1,0.4772,0.7589,45,203,119,31,34,68,634
Conquest Pain,19,1,0.4591,0.6766,32,283,124,51,25,82,571
No Look No Pass,19,1,0.487,0.7607,45,192,110,44,20,74,584
Sami's Mannschaft,19,1,0.4709,0.7724,34,210,115,42,16,74,533
Double Double,19,1,0.4712,0.774,42,266,137,45,26,85,629
Conor's Tomcats,19,1,0.4808,0.7571,39,266,168,55,24,80,621
Delonte's Donuts,1,2,0.4223,0.7483,36,198,108,30,34,64,459
"Paul George, John and Ringo",1,2,0.4527,0.7707,32,201,92,30,24,68,517
Ian Banh Mahinmi,1,2,0.4641,0.7356,31,240,108,34,27,92,573
Conor's Tumbleweeds,1,2,0.4539,0.7871,37,193,102,30,16,70,543
Windy City Poohdinis,1,2,0.3812,0.8219,33,202,115,41,33,77,493
Double Double,1,2,0.4449,0.8309,42,207,105,40,31,85,551
Conquest Pain,1,2,0.4123,0.8505,45,201,110,46,26,67,526
Sami's Mannschaft,1,2,0.4453,0.8099,38,289,118,42,42,87,592
Soccer Karate,1,2,0.4541,0.7786,28,197,94,27,20,60,503
No Look No Pass,1,2,0.4364,0.7634,26,193,91,28,30,74,428
Delonte's Donuts,2,2,0.4779,0.7734,46,202,104,37,27,74,577
Soccer Karate,2,2,0.4208,0.7626,46,236,166,45,26,89,675
Windy City Poohdinis,2,2,0.4493,0.7759,44,238,138,47,34,98,711
Ian Banh Mahinmi,2,2,0.4823,0.7176,30,268,155,38,25,90,586
"Paul George, John and Ringo",2,2,0.4858,0.7462,28,222,112,49,25,82,535
Conquest Pain,2,2,0.4428,0.8038,73,312,151,55,20,105,734
Conor's Tumbleweeds,2,2,0.4422,0.7914,46,229,153,46,35,104,730
Sami's Mannschaft,2,2,0.4536,0.8621,40,338,124,49,51,79,673
Double Double,2,2,0.4527,0.7545,43,230,142,37,20,80,604
No Look No Pass,2,2,0.4624,0.7045,55,278,130,43,31,74,628
Double Double,3,2,0.474,0.8155,41,254,143,46,25,70,545
Delonte's Donuts,3,2,0.4118,0.7164,47,239,122,50,19,80,549
Soccer Karate,3,2,0.4544,0.792,60,217,175,42,28,111,826
Conquest Pain,3,2,0.4372,0.8166,52,209,131,39,35,92,622
Sami's Mannschaft,3,2,0.462,0.8019,54,270,101,40,36,76,589
Ian Banh Mahinmi,3,2,0.4086,0.7059,28,300,140,52,21,103,610
No Look No Pass,3,2,0.4501,0.8182,47,209,117,44,35,54,507
Windy City Poohdinis,3,2,0.4357,0.8321,52,173,133,41,16,72,595
Conor's Tumbleweeds,3,2,0.4383,0.7483,50,292,178,45,41,105,725
"Paul George, John and Ringo",3,2,0.487,0.7786,23,277,128,38,35,90,582
Windy City Poohdinis,4,2,0.4365,0.7923,61,260,163,78,26,90,747
Delonte's Donuts,4,2,0.4916,0.7931,70,216,138,44,13,81,734
No Look No Pass,4,2,0.4471,0.7748,58,268,132,43,36,90,631
Sami's Mannschaft,4,2,0.4856,0.7836,36,202,85,39,62,72,513
Conquest Pain,4,2,0.4217,0.8092,68,234,157,54,30,94,665
Conor's Tumbleweeds,4,2,0.4447,0.7935,33,281,143,44,29,88,606
Soccer Karate,4,2,0.4544,0.8372,51,251,141,42,24,93,653
Double Double,4,2,0.4843,0.7895,42,236,114,29,18,44,532
Ian Banh Mahinmi,4,2,0.4876,0.7083,32,233,155,48,17,105,606
"Paul George, John and Ringo",4,2,0.4832,0.6884,20,230,125,33,27,76,461
Delonte's Donuts,5,2,0.4599,0.7152,70,212,134,45,32,67,670
No Look No Pass,5,2,0.4336,0.8142,48,239,112,35,43,92,460
Double Double,5,2,0.513,0.7891,33,289,152,40,36,77,568
Conor's Tumbleweeds,5,2,0.4414,0.8092,46,234,157,58,32,101,651
"Paul George, John and Ringo",5,2,0.4318,0.7477,29,192,115,44,19,75,495
Sami's Mannschaft,5,2,0.4306,0.8068,51,318,119,48,49,86,627
Ian Banh Mahinmi,5,2,0.4577,0.7171,36,267,177,54,25,109,599
Conquest Pain,5,2,0.4249,0.8369,64,245,101,39,17,74,640
Windy City Poohdinis,5,2,0.4228,0.7885,46,217,120,40,17,81,569
Soccer Karate,5,2,0.4519,0.7837,39,263,137,43,23,88,634
Ian Banh Mahinmi,6,2,0.4822,0.6537,27,269,166,49,24,91,649
Delonte's Donuts,6,2,0.4119,0.6712,53,210,86,34,13,58,525
Conquest Pain,6,2,0.4061,0.7379,79,271,166,59,36,100,692
Windy City Poohdinis,6,2,0.4333,0.7471,46,200,132,30,15,76,563
Sami's Mannschaft,6,2,0.4559,0.8175,50,248,105,30,48,77,586
Soccer Karate,6,2,0.4637,0.837,56,236,111,34,28,96,641
Conor's Tumbleweeds,6,2,0.4481,0.7432,33,283,177,38,33,88,653
No Look No Pass,6,2,0.4283,0.7397,62,275,124,55,40,81,588
"Paul George, John and Ringo",6,2,0.4378,0.75,52,273,144,52,31,88,696
Double Double,6,2,0.4158,0.7823,27,237,125,30,18,67,522
Delonte's Donuts,7,2,0.4609,0.7791,58,226,136,41,22,61,640
Conquest Pain,7,2,0.4236,0.837,59,215,144,48,27,100,610
Windy City Poohdinis,7,2,0.4515,0.7632,34,195,140,56,15,99,503
Sami's Mannschaft,7,2,0.4654,0.7973,60,257,137,46,43,87,676
Soccer Karate,7,2,0.4269,0.7764,44,241,136,48,28,107,677
Conor's Tumbleweeds,7,2,0.4788,0.8035,43,306,150,32,26,118,746
No Look No Pass,7,2,0.4299,0.7459,58,301,144,56,49,88,627
"Paul George, John and Ringo",7,2,0.4851,0.7364,31,245,146,34,14,72,614
Double Double,7,2,0.4359,0.7424,23,288,118,55,29,63,529
Ian Banh Mahinmi,7,2,0.456,0.6579,36,301,183,65,28,98,654
Sami's Mannschaft,8,2,0.4894,0.8042,50,232,113,45,44,81,675
Delonte's Donuts,8,2,0.4563,0.7644,57,240,113,52,32,86,663
Conor's Tumbleweeds,8,2,0.4731,0.8266,20,279,130,36,22,88,603
Windy City Poohdinis,8,2,0.4449,0.7853,50,212,173,46,15,89,633
"Paul George, John and Ringo",8,2,0.4412,0.6691,34,191,128,40,20,84,515
Soccer Karate,8,2,0.4471,0.7973,35,263,160,46,22,94,635
Ian Banh Mahinmi,8,2,0.4694,0.6991,29,245,145,54,26,81,702
No Look No Pass,8,2,0.4387,0.8452,48,244,137,39,35,84,601
Conquest Pain ,8,2,0.4475,0.8171,87,273,169,60,29,86,749
Double Double,8,2,0.4838,0.7895,32,236,130,45,17,42,585
Delonte's Donuts,9,2,0.4542,0.7626,46,224,129,30,16,71,578
Conor's Tumbleweeds,9,2,0.4614,0.7643,14,265,185,37,26,95,503
Sami's Mannschaft,9,2,0.4549,0.8448,53,244,120,27,41,63,595
"Paul George, John and Ringo",9,2,0.4474,0.775,22,155,116,33,25,68,413
Double Double,9,2,0.5079,0.7755,44,214,120,52,20,57,632
Windy City Poohdinis,9,2,0.4642,0.7803,44,184,118,46,13,87,575
Conquest Pain,9,2,0.4139,0.7015,47,242,135,36,30,74,569
Ian Banh Mahinmi,9,2,0.481,0.6886,24,254,137,47,30,79,619
No Look No Pass,9,2,0.4208,0.8462,36,195,80,40,33,63,399
Soccer Karate,9,2,0.4304,0.7172,37,231,124,35,16,80,549
Soccer Karate,10,2,0.4332,0.6923,50,282,140,48,26,85,629
Delonte's Donuts,10,2,0.4382,0.7583,60,243,154,45,21,69,738
Windy City Poohdinis,10,2,0.4628,0.7852,43,175,136,49,16,66,558
