Player,Season,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
Kevin Martin,2012,28.0,40.0,40.0,31.6,5.6,13.4,0.413,2.0,5.6,0.34700000000000003,3.6,7.8,0.462,0.486,4.0,4.5,0.894,0.3,2.3,2.7,2.8,0.7,0.1,0.56,1.8,17.1
Roger Mason,2012,31.0,52.0,0.0,13.4,2.0,5.0,0.39899999999999997,1.1,3.0,0.38299999999999995,0.8,2.0,0.423,0.514,0.4,0.5,0.778,0.1,1.2,1.3,0.9,0.3,0.1,1.67,0.6,5.5
Wesley Matthews,2012,25.0,66.0,53.0,33.8,4.8,11.6,0.41200000000000003,2.0,5.1,0.38299999999999995,2.8,6.5,0.434,0.496,2.2,2.6,0.86,0.8,2.5,3.4,1.7,1.5,0.2,0.91,2.2,13.7
Jason Maxiell,2012,28.0,65.0,42.0,22.6,2.8,5.9,0.478,0.0,0.0,0.0,2.8,5.9,0.48,0.478,0.9,1.6,0.547,1.9,3.2,5.1,0.6,0.5,0.8,0.91,2.3,6.5
Eric Maynor,2012,24.0,9.0,0.0,15.2,1.6,4.3,0.359,0.7,1.9,0.353,0.9,2.4,0.364,0.436,0.4,0.4,1.0,0.3,1.1,1.4,2.4,0.6,0.0,0.83,1.4,4.2
O.J. Mayo,2012,24.0,66.0,0.0,26.8,4.5,11.2,0.408,1.5,4.2,0.364,3.0,7.0,0.434,0.47600000000000003,2.0,2.6,0.773,0.5,2.7,3.2,2.6,1.1,0.3,0.53,2.1,12.6
Luc Mbah a Moute,2012,25.0,43.0,22.0,23.5,3.1,6.1,0.51,0.0,0.1,0.25,3.1,6.0,0.514,0.511,1.5,2.4,0.6409999999999999,1.8,3.5,5.3,0.7,0.9,0.5,1.11,2.2,7.7
Tracy McGrady,2012,32.0,52.0,0.0,16.1,1.9,4.4,0.43700000000000006,0.3,0.6,0.455,1.7,3.8,0.434,0.47,1.1,1.6,0.675,0.4,2.5,3.0,2.1,0.3,0.3,1.0,0.7,5.3
Dominic McGuire,2012,26.0,64.0,6.0,17.6,1.5,3.3,0.44799999999999995,0.0,0.1,0.0,1.5,3.2,0.456,0.44799999999999995,0.6,0.8,0.736,1.1,2.7,3.8,1.7,0.7,0.6,1.11,1.6,3.5
Josh McRoberts,2012,24.0,50.0,6.0,14.4,1.1,2.4,0.475,0.1,0.1,0.429,1.1,2.2,0.47700000000000004,0.48700000000000004,0.5,0.7,0.639,1.2,2.2,3.4,1.0,0.3,0.4,1.67,1.5,2.8
Jodie Meeks,2012,24.0,66.0,50.0,24.9,2.9,7.1,0.409,1.5,4.0,0.365,1.4,3.0,0.46799999999999997,0.513,1.2,1.3,0.9059999999999999,0.3,2.2,2.4,0.8,0.6,0.0,2.5,1.2,8.4
C.J. Miles,2012,24.0,56.0,14.0,20.4,3.2,8.3,0.381,0.8,2.7,0.307,2.3,5.6,0.41600000000000004,0.43,1.9,2.4,0.794,0.5,1.6,2.1,1.2,0.8,0.3,1.11,2.2,9.1
Darko Milicic,2012,26.0,29.0,23.0,16.3,2.0,4.5,0.45399999999999996,0.0,0.0,0.0,2.0,4.5,0.45399999999999996,0.45399999999999996,0.6,1.3,0.0,1.2,2.1,3.3,0.6,0.3,0.9,0.91,2.0,4.6
Andre Miller,2012,35.0,66.0,7.0,27.4,3.7,8.4,0.43799999999999994,0.3,1.3,0.217,3.4,7.1,0.478,0.455,2.1,2.6,0.8109999999999999,0.8,2.5,3.3,6.7,1.0,0.1,0.37,2.0,9.7
Brad Miller,2012,35.0,15.0,1.0,9.7,0.6,1.8,0.33299999999999996,0.5,1.0,0.467,0.1,0.8,0.16699999999999998,0.46299999999999997,0.7,0.8,0.833,0.3,1.0,1.3,1.6,0.3,0.1,1.25,0.7,2.3
Mike Miller,2012,31.0,39.0,2.0,19.3,2.3,5.4,0.435,1.4,3.0,0.45299999999999996,1.0,2.4,0.413,0.562,0.1,0.1,0.4,0.6,2.7,3.3,1.1,0.4,0.2,1.25,1.5,6.1
Patrick Mills,2012,23.0,16.0,3.0,16.3,3.9,8.1,0.485,1.5,3.5,0.429,2.4,4.6,0.527,0.5770000000000001,0.9,0.9,1.0,0.3,1.5,1.8,2.4,0.6,0.1,0.62,0.9,10.3
Paul Millsap,2012,26.0,64.0,62.0,32.8,6.7,13.5,0.495,0.1,0.5,0.226,6.5,13.0,0.505,0.499,3.2,4.0,0.792,2.8,6.0,8.8,2.3,1.8,0.8,0.56,3.5,16.6
Nazr Mohammed,2012,34.0,63.0,1.0,11.0,1.3,2.7,0.467,0.0,0.0,0.0,1.3,2.7,0.47,0.467,0.2,0.4,0.565,0.9,1.8,2.7,0.2,0.3,0.6,2.5,1.6,2.7
Greg Monroe,2012,21.0,66.0,66.0,31.5,6.2,11.8,0.521,0.0,0.0,0.0,6.2,11.8,0.522,0.521,3.0,4.1,0.7390000000000001,3.6,6.0,9.7,2.3,1.3,0.7,0.42,2.7,15.4
Jamario Moon,2012,31.0,8.0,0.0,15.4,0.9,3.0,0.292,0.3,1.3,0.2,0.6,1.8,0.35700000000000004,0.33299999999999996,0.3,0.3,1.0,0.3,2.5,2.8,0.6,0.1,0.6,1.0,0.6,2.3
E'Twaun Moore,2012,22.0,38.0,0.0,8.7,1.1,3.0,0.381,0.4,1.2,0.37799999999999995,0.7,1.8,0.382,0.456,0.2,0.2,1.0,0.1,0.8,0.9,0.9,0.3,0.1,1.67,0.9,2.9
Mikki Moore,2012,36.0,7.0,0.0,16.9,1.3,2.9,0.45,0.0,0.0,0.0,1.3,2.9,0.45,0.45,0.9,1.0,0.0,1.0,2.1,3.1,0.7,0.4,0.4,1.0,3.4,3.4
Darius Morris,2012,21.0,19.0,0.0,8.9,0.9,2.2,0.429,0.2,0.5,0.444,0.7,1.7,0.424,0.47600000000000003,0.3,0.5,0.667,0.1,0.7,0.8,1.1,0.1,0.0,1.0,0.8,2.4
Marcus Morris,2012,22.0,17.0,0.0,7.4,0.9,3.2,0.29600000000000004,0.1,1.0,0.11800000000000001,0.8,2.2,0.37799999999999995,0.315,0.4,0.5,0.75,0.3,0.6,0.9,0.2,0.1,0.1,5.0,0.7,2.4
Markieff Morris,2012,22.0,63.0,7.0,19.5,2.8,6.9,0.39899999999999997,0.7,2.0,0.34700000000000003,2.1,5.0,0.42,0.44799999999999995,1.2,1.7,0.7170000000000001,1.1,3.3,4.4,1.0,0.7,0.7,0.91,2.8,7.4
Anthony Morrow,2012,26.0,62.0,18.0,26.4,4.4,10.6,0.413,1.7,4.6,0.371,2.7,6.0,0.446,0.494,1.6,1.7,0.9329999999999999,0.5,1.5,2.0,1.0,0.7,0.1,0.91,1.4,12.0
Timofey Mozgov,2012,25.0,44.0,35.0,15.6,2.3,4.3,0.526,0.0,0.0,0.0,2.3,4.3,0.526,0.526,0.9,1.3,0.0,1.2,2.9,4.1,0.5,0.3,1.0,0.83,2.0,5.4
Byron Mullens,2012,22.0,65.0,25.0,22.5,3.9,9.1,0.425,0.2,0.8,0.235,3.7,8.3,0.44299999999999995,0.435,1.4,1.7,0.821,1.5,3.6,5.0,0.9,0.3,0.8,0.91,2.1,9.3
Troy Murphy,2012,31.0,59.0,0.0,16.2,1.3,2.9,0.45,0.5,1.1,0.418,0.8,1.8,0.47100000000000003,0.532,0.1,0.2,0.667,0.7,2.6,3.2,0.9,0.3,0.3,2.5,1.7,3.2
Eduardo Najera,2012,35.0,22.0,0.0,12.3,1.1,2.9,0.375,0.4,1.3,0.276,0.7,1.6,0.457,0.43799999999999994,0.1,0.2,0.5,0.5,1.8,2.3,0.5,0.9,0.2,3.33,1.8,2.6
Steve Nash,2012,37.0,62.0,62.0,31.6,4.8,9.0,0.532,0.9,2.3,0.39,3.9,6.7,0.58,0.581,2.0,2.3,0.894,0.4,2.6,3.0,10.7,0.6,0.1,0.27,0.9,12.5
Gary Neal,2012,27.0,56.0,7.0,21.5,3.8,8.7,0.436,1.5,3.5,0.419,2.3,5.1,0.44799999999999995,0.522,0.9,1.1,0.7809999999999999,0.2,1.9,2.1,2.1,0.5,0.0,0.91,1.3,9.9
Jameer Nelson,2012,29.0,57.0,57.0,29.9,4.5,10.6,0.42700000000000005,1.5,4.1,0.377,3.0,6.6,0.45899999999999996,0.499,1.2,1.5,0.807,0.5,2.7,3.2,5.7,0.7,0.1,0.42,2.3,11.9
Joakim Noah,2012,26.0,64.0,64.0,30.4,3.9,7.7,0.508,0.0,0.0,0.0,3.9,7.6,0.509,0.508,2.4,3.2,0.748,3.8,6.0,9.8,2.5,0.6,1.4,0.71,2.5,10.2
Andres Nocioni,2012,32.0,11.0,1.0,5.1,0.5,1.8,0.25,0.1,0.5,0.16699999999999998,0.4,1.3,0.28600000000000003,0.275,0.5,1.0,0.545,0.1,1.2,1.3,0.1,0.1,0.1,2.0,0.4,1.5
Steve Novak,2012,28.0,54.0,0.0,18.9,3.0,6.2,0.478,2.5,5.2,0.47200000000000003,0.5,1.0,0.509,0.675,0.4,0.5,0.846,0.2,1.8,1.9,0.2,0.3,0.2,2.5,1.1,8.8
Dirk Nowitzki,2012,33.0,62.0,62.0,33.5,7.6,16.7,0.457,1.3,3.4,0.368,6.4,13.3,0.48100000000000004,0.495,5.1,5.7,0.8959999999999999,0.7,6.0,6.7,2.2,0.7,0.5,0.53,2.1,21.6
Jermaine O'Neal,2012,33.0,25.0,24.0,22.8,2.1,4.8,0.433,0.0,0.0,0.0,2.1,4.8,0.433,0.433,0.8,1.2,0.0,1.5,3.9,5.4,0.4,0.3,1.7,1.25,3.2,5.0
Lamar Odom,2012,32.0,50.0,4.0,20.5,2.5,7.0,0.35200000000000004,0.6,2.2,0.252,1.9,4.8,0.39899999999999997,0.39299999999999996,1.2,2.0,0.5920000000000001,0.7,3.4,4.2,1.7,0.4,0.4,1.0,1.9,6.6
Emeka Okafor,2012,29.0,27.0,27.0,28.9,4.2,7.9,0.5329999999999999,0.0,0.0,0.0,4.2,7.9,0.5329999999999999,0.5329999999999999,1.4,2.7,0.0,2.6,5.3,7.9,0.9,0.6,1.0,0.71,2.7,9.9
Mehmet Okur,2012,32.0,17.0,14.0,26.7,3.1,8.2,0.374,1.4,4.2,0.319,1.7,3.9,0.433,0.457,0.2,0.3,0.6,1.3,3.5,4.8,1.8,0.5,0.3,0.67,2.6,7.6
Daniel Orton,2012,21.0,16.0,2.0,11.7,1.1,1.9,0.5670000000000001,0.0,0.1,0.0,1.1,1.8,0.586,0.5670000000000001,0.7,1.6,0.44,1.2,1.3,2.4,0.3,0.5,0.6,2.5,1.9,2.8
